,,, ,Wheel 1,,,,Wheel 2,,,
Run,Previous Best,Recorded Time,Evolutions,Size,Max Speed,Max Torque,Damping Ratio,Size,Max Speed,Max Torque,Damping Ratio
169,00:07.484,00:14.984,7,0.15,-96.44,44.02,4.91,0.55,-122.49,63.77,1.55
170,00:07.484,00:14.970,7,0.15,-96.44,44.02,5.62,0.55,-122.49,97.76,1.55
171,00:07.484,00:14.971,7,0.15,-2.75,44.02,5.62,0.55,-136.99,97.76,1.55
172,00:07.484,00:14.975,7,0.06,-2.75,44.02,5.62,0.87,-136.99,97.76,1.55
173,00:07.484,00:14.968,7,0.98,-2.75,44.02,5.62,0.36,-136.99,97.76,1.55
165,00:18.440,00:36.890,3,0.48,-23.52,8.68,8.09,0.4,-142.23,82.03,8.47
174,00:07.484,00:14.968,7,0.28,-2.75,44.02,5.62,0.88,-136.99,97.76,1.55
176,00:07.484,00:14.970,7,0.28,-2.75,44.02,3.86,0.88,-136.99,97.76,4.79
177,00:07.484,00:14.972,7,0.28,-2.75,44.02,4.52,0.47,-136.99,97.76,4.79
178,00:07.484,00:14.969,7,0.28,-2.75,44.02,4.25,0.47,-136.99,14.48,4.79
179,00:07.484,00:14.970,7,0.28,-105.61,44.02,7.45,0.47,-136.99,14.48,4.79
180,00:07.484,00:14.970,7,0.97,-188.23,44.02,7.45,0.47,-136.99,14.48,4.79
181,00:07.484,00:14.975,7,0.97,-138.58,44.02,7.45,0.98,-136.99,14.48,4.79
182,00:12.778,00:12.778,7,0.97,-138.58,9.46,7.45,0.26,-136.99,14.48,4.79
183,00:12.778,00:25.572,7,0.97,-138.58,9.46,7.68,0.26,-136.99,50.59,4.79
184,00:12.778,00:25.562,7,0.97,-20.25,9.46,7.68,0.26,-136.99,21.16,4.79
185,00:12.778,00:25.570,7,0.97,-20.25,56.89,7.68,0.26,-136.99,84.62,4.79
186,00:12.778,00:25.561,7,0.97,-64.89,11.51,7.68,0.26,-136.99,84.62,4.79
187,00:12.778,00:25.563,7,0.55,-64.89,11.51,7.68,0.26,-173.88,84.62,4.79
188,00:12.778,00:25.566,7,0.55,-64.89,87.88,7.68,0.26,-174.43,84.62,4.79
189,00:12.778,00:25.570,7,0.55,-187.41,87.88,7.68,0.67,-174.43,84.62,4.79
190,00:12.778,00:25.561,7,0.55,-38.09,71.45,7.68,0.67,-174.43,84.62,4.79
191,00:12.778,00:25.564,7,0.75,-38.09,71.45,7.68,0.67,-174.43,84.62,5.26
182,00:12.778,00:12.778,7,0.97,-138.58,89.58,1.91,0.98,-136.99,14.48,8.47
192,00:12.778,00:25.558,7,0.75,-22.14,71.45,7.68,0.67,-174.43,84.62,4.6
194,00:12.778,00:25.569,7,0.75,-22.14,71.45,7.68,0.94,-174.43,84.62,1.26
195,00:11.355,00:11.355,8,0.95,-22.14,71.45,7.68,0.94,-174.43,84.62,1.26
196,00:11.209,00:11.209,9,0.95,-22.14,71.45,7.68,0.82,-174.43,13.61,1.26
197,00:11.209,00:22.422,9,0.1,-22.14,37.3,7.68,0.82,-174.43,13.61,1.26
198,00:11.209,00:22.429,9,0.1,-22.14,2.18,7.68,0.82,-174.43,13.61,1.26
199,00:11.209,00:22.429,9,0.1,-22.14,2.18,7.68,0.82,-174.43,42.62,1.26
200,00:20.496,00:20.496,9,0.1,-22.14,58.08,7.68,0.82,-174.43,42.62,5.83
201,00:20.496,00:41.300,9,0.69,-22.14,58.08,7.62,0.82,-174.43,42.62,5.83
202,00:20.496,00:40.997,9,0.46,-22.14,58.08,7.62,0.83,-174.43,42.62,5.83
203,00:20.496,00:41.100,9,0.46,-22.14,31.78,7.4,0.83,-174.43,42.62,5.83
204,00:20.496,00:40.999,9,0.53,-13.36,31.78,7.4,0.83,-174.43,42.62,5.83
205,00:20.496,00:40.996,9,0.53,-13.36,31.78,7.4,0.83,-88.93,48.41,5.83
206,00:20.496,00:40.997,9,0.53,-13.36,31.78,7.4,0.83,-92.06,48.41,5.83
207,00:20.496,00:41.150,9,0.18,-13.36,31.78,7.4,0.83,-92.06,4.35,5.83
208,00:20.496,00:40.998,9,0.87,-13.36,31.78,7.4,0.83,-125.17,4.35,5.83
209,00:20.496,00:40.994,9,0.87,-13.36,31.78,4.55,0.83,-117.38,4.35,5.83
200,00:20.496,00:20.496,9,0.23,-22.14,8.39,7.68,0.82,-174.43,42.62,8.47
210,00:20.496,00:41.100,9,0.24,-13.36,31.78,4.55,0.83,-117.38,7.74,5.83
212,00:20.496,00:40.999,9,0.52,-13.36,31.78,4.55,0.83,-117.38,7.74,5.83
213,00:20.496,00:41.100,9,0.52,-13.36,31.78,3.16,0.83,-117.38,10.76,5.83
214,00:20.496,00:41.000,9,0.86,-13.36,94.61,3.16,0.83,-117.38,10.76,5.83
215,00:20.496,00:41.110,9,0.86,-13.36,94.61,3.16,0.83,-82.76,10.76,5.83
216,00:20.496,00:40.995,9,0.86,-13.36,94.62,8.65,0.83,-82.76,10.76,5.83
217,00:20.496,00:41.100,9,0.86,-29.53,26.97,8.65,0.83,-82.76,10.76,5.83
218,00:20.496,00:41.700,9,0.86,-29.53,26.97,8.65,0.83,-82.76,65.1,5.83
219,00:20.496,00:41.500,9,1,-29.53,26.97,8.65,0.83,-46.66,65.1,5.83
211,00:20.496,00:41.600,9,0.92,-22.14,8.39,7.68,0.82,-174.43,42.62,8.47
